City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,puerto carreno,6.188,-67.4895,84.43,70,94,8.55,CO,1668892870
182,amderma,69.7522,61.6623,11.44,86,100,12.88,RU,1668892871
183,sao miguel do araguaia,-13.2726,-50.1627,82.45,61,30,5.53,BR,1668892872
184,banda aceh,5.5528,95.3193,78.28,82,97,8.7,ID,1668892873
185,lasa,50.4292,2.832,46.63,87,97,3.65,FR,1668892873
186,zhigansk,66.7656,123.3741,-8.19,98,100,15.1,RU,1668892874
187,anloga,5.7936,0.8985,81.34,77,24,8.75,GH,1668892875
188,torbay,47.6577,-52.727,36.61,93,75,9.22,CA,1668892876
189,loa janan,-0.5876,117.0887,73.74,98,100,1.7,ID,1668892877
190,arraial do cabo,-22.9663,-42.0244,73.38,64,40,8.05,BR,1668892878
191,camacha,32.6794,-16.8449,58.73,74,40,14.97,PT,1668892879
192,tapaua,-5.6232,-63.1879,84.09,66,96,3.31,BR,1668892880
193,bredasdorp,-34.5331,20.0428,56.55,80,3,4.25,ZA,1668892881
194,jamestown,-15.9277,-5.7161,68.56,72,3,12.66,SH,1668892882
195,mokobeng,-22.9965,27.6678,88.21,24,100,3.2,BW,1668892883
196,millet,38.4136,27.1798,66.15,77,20,13.8,TR,1668892884
197,egvekinot,66.3227,-179.1201,-7.89,79,18,5.57,RU,1668892886
198,sur,33.2721,35.1964,70.11,56,0,5.82,LB,1668892886
199,linkou,25.0775,121.3916,74.37,73,75,11.5,TW,1668892887
200,mitsamiouli,-11.3889,43.293,77.99,81,1,9.89,KM,1668892888
201,ijaki,22.9372,57.7571,69.8,53,0,3.0,OM,1668892889
202,bambous virieux,-20.3472,57.7647,70.36,83,20,3.44,MU,1668892890
203,ila,34.1724,-83.2934,52.81,40,100,9.51,US,1668892891
204,tsihombe,-25.3185,45.4841,73.87,74,4,4.72,MG,1668892892
205,komsomolskiy,43.9827,46.695,49.06,94,29,6.2,RU,1668892893
206,mastic beach,40.7657,-72.8367,39.4,50,0,18.41,US,1668892894
207,skibbereen,52.251,-7.1508,49.24,79,83,8.99,IE,1668892895
208,soyo,-6.1334,12.3718,77.79,79,99,5.53,AO,1668892896
209,paita,-5.087,-81.112,68.16,76,38,17.65,PE,1668892736
210,oeiras do para,-2.0041,-49.8596,83.46,59,100,3.33,BR,1668892897
211,sorland,61.8986,5.7913,36.09,86,0,1.14,NO,1668892898
212,el alto,-16.5048,-68.1624,57.52,41,75,14.97,BO,1668892899
213,loreto,43.4395,13.607,52.65,63,100,16.93,IT,1668892900
214,palmer,61.5996,-149.1111,40.12,66,0,5.99,US,1668892901
215,barra do garcas,-15.8916,-52.2615,77.49,69,0,9.22,BR,1668892902
216,port blair,11.6645,92.739,78.22,83,20,2.3,IN,1668892902
217,grand river south east,-20.2907,57.7852,70.3,83,20,3.44,MU,1668892903
218,peniche,39.3566,-9.3813,61.05,85,100,14.9,PT,1668892904
219,umm kaddadah,13.6002,26.6893,67.86,21,3,12.39,SD,1668892905
220,duluth,46.7729,-92.1251,18.41,60,40,20.71,US,1668892906
221,longyearbyen,78.2232,15.6464,39.47,87,75,26.46,SJ,1668892906
222,rawson,-43.2991,-65.1057,68.29,30,0,20.71,AR,1668892907
223,cabinda,-5.5576,12.1919,77.13,80,100,5.37,AO,1668892908
224,talcahuano,-36.7145,-73.1141,64.45,55,0,20.71,CL,1668892909
225,barbar,24.4054,76.6763,61.11,47,0,3.11,IN,1668892910
226,kokopo,-4.3432,152.2687,81.0,77,100,3.69,PG,1668892911
227,tuatapere,-46.1323,167.6908,58.33,78,84,2.75,NZ,1668892912
228,saint-pierre,48.3833,7.4719,46.09,82,100,3.89,FR,1668892912
229,cam ranh,11.9167,109.1486,75.11,94,75,11.5,VN,1668892913
230,grootfontein,-19.5644,18.1041,77.92,41,53,5.75,NA,1668892914
231,rolim de moura,-11.7271,-61.7714,91.69,43,84,6.55,BR,1668892915
232,santa cruz,28.4696,-16.2541,69.44,79,75,11.5,ES,1668892916
233,college,45.3266,-75.8386,30.11,80,100,10.0,CA,1668892917
234,saint george,12.0535,-61.7518,83.28,74,20,23.02,GD,1668892917
235,vaitupu,-7.4769,178.6808,83.16,68,54,16.58,TV,1668892919
236,tukrah,32.5322,20.5722,73.29,29,90,18.52,LY,1668892919
237,pierre,44.3684,-100.3511,27.86,54,0,13.0,US,1668892920
238,airai,-8.9266,125.4092,62.06,94,100,2.04,TL,1668892921
239,niesky,51.2921,14.8251,29.66,83,62,7.34,DE,1668892922
240,fukue,34.5264,133.8032,56.62,61,4,5.01,JP,1668892923
241,nizwa,22.9324,57.5311,71.2,46,0,3.85,OM,1668892924
242,taian,41.3785,122.4268,38.62,58,89,7.18,CN,1668892925
243,itaituba,-4.2625,-55.9878,80.65,89,75,3.44,BR,1668892926
244,grass valley,39.2191,-121.0629,61.59,27,0,1.99,US,1668892926
245,herouville-saint-clair,49.2031,-0.3354,50.49,93,75,8.05,FR,1668892927
246,north bend,47.4958,-121.7849,52.84,29,90,11.99,US,1668892928
247,sinnamary,5.3771,-52.9572,80.65,77,82,9.95,GF,1668892929
248,beyneu,45.3214,55.1862,42.4,81,18,4.81,KZ,1668892930
249,maltahohe,-24.842,16.9854,75.9,16,81,9.48,NA,1668892931
250,kajaani,64.2241,27.7334,23.0,93,100,4.61,FI,1668892932
251,huilong,32.7019,115.4757,53.44,86,0,2.33,CN,1668892933
252,souillac,44.898,1.4694,43.11,88,93,3.58,FR,1668892934
253,port hardy,50.7244,-127.4976,40.98,70,100,3.44,CA,1668892935
254,nakhon si thammarat,8.4328,99.9628,75.79,87,100,3.8,TH,1668892936
255,ocos,14.5104,-92.1943,88.07,70,4,4.41,GT,1668892937
256,illoqqortoormiut,70.4851,-21.9642,30.99,96,100,5.66,GL,1668892938
257,zadar,44.1169,15.2353,50.77,100,75,13.8,HR,1668892939
258,urosevac,42.3682,21.1533,51.85,86,28,5.53,XK,1668892940
259,senneterre,48.3905,-77.2428,25.47,91,100,5.66,CA,1668892940
260,nipawin,53.3628,-104.0172,23.04,74,100,9.22,CA,1668892941
261,mizpe ramon,30.612,34.8012,57.78,45,0,6.22,IL,1668892942
262,coihaique,-45.5712,-72.0685,52.74,71,75,13.8,CL,1668892943
263,mackay,-21.142,149.1865,81.64,80,99,14.58,AU,1668892944
264,fleetwood,53.9225,-3.0329,46.08,87,20,12.66,GB,1668892945
265,sao joao da barra,-21.6349,-41.0487,75.31,73,32,13.06,BR,1668892946
266,mersing,2.4299,103.8355,75.07,88,40,1.14,MY,1668892947
267,the valley,18.2146,-63.0518,82.15,74,40,12.66,AI,1668892948
268,isangel,-19.5411,169.2811,81.63,78,1,9.22,VU,1668892948
269,umzimvubu,-30.8249,28.9218,49.35,87,100,0.29,ZA,1668892949
270,saint-francois,47.0019,-70.8129,28.87,74,97,1.14,CA,1668892950
271,leshukonskoye,64.9025,45.7672,21.9,93,41,8.59,RU,1668892951
272,kamenka,53.185,44.0529,30.92,95,89,13.47,RU,1668892952
273,pandan,-3.2874,104.193,72.97,95,96,2.73,ID,1668892953
274,rauma,61.1289,21.5039,26.65,79,31,10.56,FI,1668892954
275,taoudenni,22.6762,-3.9805,76.01,11,0,7.27,ML,1668892954
276,pacific grove,36.6211,-121.9178,71.53,35,0,6.91,US,1668892955
277,asau,46.4389,26.4008,33.24,95,100,2.77,RO,1668892956
278,kaeo,-35.1017,173.7751,70.45,84,36,13.49,NZ,1668892957
279,alghero,40.56,8.3151,57.29,88,40,3.44,IT,1668892958
280,kawalu,-1.9593,123.8495,81.57,71,100,2.48,ID,1668892959
281,nome,64.5011,-165.4064,33.87,87,100,0.0,US,1668892688
282,kuche,41.7117,82.9583,36.73,35,94,5.12,CN,1668892960
283,aklavik,68.2183,-135.0136,30.2,93,100,8.05,CA,1668892961
284,chokwe,-16.4548,35.013,83.12,48,23,5.35,MW,1668892962
285,codrington,51.5082,-2.3937,45.37,89,100,1.99,GB,1668892963
286,lanxi,29.2118,119.4553,62.73,96,99,0.92,CN,1668892963
287,zarichne,51.8116,26.1284,20.44,87,84,2.8,UA,1668892964
288,cerknica,45.7937,14.3619,40.32,98,100,8.95,SI,1668892965
289,ziro,27.5387,93.8154,45.64,57,11,4.32,IN,1668892966
290,batticaloa,7.7356,81.6942,75.76,88,100,11.74,LK,1668892967
291,lingao,19.9103,109.6859,73.71,90,87,7.78,CN,1668892968
292,the pas,53.8224,-101.2405,14.05,85,100,10.36,CA,1668892968
293,duz,33.4571,9.025,57.96,31,62,12.5,TN,1668892969
294,borba,38.8058,-7.4542,49.55,90,81,5.99,PT,1668892970
295,cayenne,4.9371,-52.3258,82.42,78,0,2.3,GF,1668892971
296,nikel,69.4062,30.2114,15.82,96,76,5.26,RU,1668892972
297,oktyabrskiy,55.6086,37.9744,28.2,93,100,11.18,RU,1668892972
298,longlac,49.7782,-86.5394,9.45,82,100,11.61,CA,1668892973
299,zhanaozen,43.3381,52.8556,48.2,52,39,7.81,KZ,1668892974
300,karratha,-20.737,116.8479,77.36,41,98,8.79,AU,1668892975
301,bronnoysund,65.4749,12.2116,41.0,41,0,9.22,NO,1668892976
302,sagua la grande,22.806,-80.072,81.61,79,52,12.8,CU,1668892977
303,jacksonville,30.3322,-81.6557,61.02,56,75,9.22,US,1668892977
304,esso,55.9282,158.7044,5.27,85,96,4.94,RU,1668892978
305,susanville,40.4163,-120.653,39.81,55,0,5.99,US,1668892979
306,saldanha,-32.9978,17.9456,57.47,76,0,13.11,ZA,1668892980
307,celestun,20.8604,-90.3994,80.24,77,87,5.21,MX,1668892981
308,pangnirtung,66.148,-65.7173,-2.15,85,74,4.38,CA,1668892981
309,opuwo,-18.055,13.8387,75.83,33,57,5.01,NA,1668892982
310,olinda,-7.9986,-34.846,80.62,69,40,6.91,BR,1668892983
311,visby,57.6379,18.298,27.81,93,100,2.3,SE,1668892984
312,tual,-5.639,132.7429,82.35,78,100,14.67,ID,1668892985
313,louisbourg,45.9235,-59.9643,35.85,77,6,9.13,CA,1668892986
314,keroka,-0.4853,36.0527,58.51,85,99,3.06,KE,1668892987
315,jiwani,25.0503,61.7466,78.84,67,10,8.66,PK,1668892988
316,usinsk,65.9957,57.5571,24.37,97,100,11.56,RU,1668892988
317,namikupa,-10.8421,39.6279,68.05,97,9,3.65,TZ,1668892989
318,port macquarie,-31.4299,152.9104,72.84,57,9,7.45,AU,1668892990
319,honiara,-9.4311,159.9553,83.16,78,86,4.27,SB,1668892991
320,sawtell,-30.369,153.1003,80.08,57,65,19.57,AU,1668892992
321,salvador,-12.9822,-38.4813,78.53,83,75,6.91,BR,1668892993
322,dali,25.6802,100.3001,41.58,53,93,1.41,CN,1668892994
323,lakes entrance,-37.8795,147.9944,56.17,84,31,17.43,AU,1668892995
324,concarneau,47.8757,-3.9224,52.09,76,100,11.68,FR,1668892995
325,riyadh,24.6389,46.716,64.78,47,1,10.78,SA,1668892996
326,gigante,2.3882,-75.5469,83.89,59,100,2.59,CO,1668892997
327,linxia,35.4787,103.0385,38.55,37,21,3.8,CN,1668892998
328,itoman,26.106,127.6861,74.82,83,40,8.05,JP,1668892999
329,tessalit,20.202,1.0125,73.18,11,100,8.55,ML,1668893000
330,sarangani,5.4123,125.4219,82.04,74,100,2.42,PH,1668893001
331,buchanan,41.262,-73.9382,39.31,45,19,3.0,US,1668892730
332,leh,34.1642,77.5848,25.84,92,100,5.59,IN,1668893002
333,port-cartier,50.0187,-66.8757,25.05,82,82,6.58,CA,1668893003
334,sola,37.5667,126.9783,49.44,87,75,2.3,KR,1668893004
335,lincoln,40.8136,-96.7073,33.15,39,0,23.02,US,1668892422
336,saint-paul-les-dax,43.7253,-1.0515,50.38,95,100,5.75,FR,1668893006
337,geraldton,-28.7704,114.6147,48.36,93,0,5.75,AU,1668893007
338,anchorage,61.2163,-149.8949,38.88,77,100,5.75,US,1668893007
339,nampula,-15.1194,39.2616,75.22,64,0,14.97,MZ,1668893008
340,moose factory,51.2602,-80.6033,24.82,86,100,5.75,CA,1668893009
341,marawi,8.0047,124.2854,69.96,88,100,3.2,PH,1668893010
342,strelka,58.0801,93.0317,6.64,97,100,4.0,RU,1668893011
343,collie,-33.3591,116.1536,51.89,79,100,2.55,AU,1668893012
344,camana,-11.9873,-73.1218,88.21,52,94,2.57,PE,1668893013
345,salvacion,11.2283,124.9539,74.43,94,100,1.39,PH,1668893014
346,ulladulla,-35.3622,150.4752,69.67,51,0,10.02,AU,1668893015
347,roebourne,-20.7724,117.1458,78.42,34,97,8.37,AU,1668893016
348,ratnagiri,16.9934,73.2954,71.26,49,99,7.52,IN,1668893017
349,sambava,-14.255,50.1557,71.33,85,0,3.38,MG,1668893017
350,waddan,29.1614,16.1413,69.35,20,12,8.59,LY,1668893018
351,meulaboh,4.1482,96.1339,75.07,92,100,3.18,ID,1668893019
352,longonjo,-12.907,15.2486,67.1,78,30,2.55,AO,1668893020
353,vao,58.9396,25.9708,23.38,85,100,7.94,EE,1668893021
354,alice,27.7522,-98.0697,46.13,97,100,24.16,US,1668893022
355,batemans bay,-35.7072,150.1783,65.19,47,1,11.32,AU,1668893022
356,papillion,41.1544,-96.0422,31.66,42,75,19.57,US,1668893023
357,gushikawa,26.3589,127.8676,74.5,94,20,0.0,JP,1668893024
358,shaunavon,49.6508,-108.41,17.35,70,17,13.04,CA,1668893025
359,namibe,-15.1951,12.1458,71.58,73,75,8.08,AO,1668893026
360,tabuk,28.4013,36.567,60.85,72,40,5.75,SA,1668893027
361,mecca,21.4208,39.8269,76.77,66,4,6.24,SA,1668893028
362,kruisfontein,-34.012,24.7433,54.99,92,1,8.1,ZA,1668893029
363,kavaratti,10.5672,72.6395,80.55,57,15,2.8,IN,1668893030
364,bartica,6.4053,-58.6214,80.85,96,34,3.74,GY,1668893031
365,norilsk,69.3498,88.2005,-3.66,94,100,3.33,RU,1668893032
366,xinpu,24.828,121.0712,76.46,90,9,1.99,TW,1668893033
